,author,date,title,description,url,urlToImage,publishedAt,content,source.id,source.name
10,Tom McKay,,"CIA Director: Duh, Of Course, the CIA Is Into Cryptocurrency","In a disclosure that should surprise no one, the head honcho at the CIA has confirmed that the intelligence agency has multiple projects related to cryptocurrency.Read more...",https://gizmodo.com/cia-director-duh-of-course-the-cia-is-into-cryptocur-1848180577,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/6abb5a9102ceabd17d8071b031766c51.jpg",2021-12-08T20:10:00Z,"In a disclosure that should surprise no one, the head honcho at the CIA has confirmed that the intelligence agency has multiple projects related to cryptocurrency.
Rumorsoften not entirely seriousha… [+4310 chars]",,Gizmodo.com
11,Reuters Editorial,,Self-proclaimed bitcoin creator hails court victory - Reuters.com,A computer scientist who has claimed to be the inventor of bitcoin largely prevailed this week in a Florida jury trial over whether the estate of a former business partner deserved half of a bitcoin cache worth more than $50 billion.  Conway G. Gittens has mo…,https://www.reuters.com/video/watch/idOVF7BN91N,https://static.reuters.com/resources/r/?d=20211209&i=OVF7BN91N&r=OVF7BN91N&t=2,2021-12-09T21:49:26Z,"Posted 
A computer scientist who has claimed to be the inventor of bitcoin largely prevailed this week in a Florida jury trial over whether the estate of a former business partner deserved half of a… [+70 chars]",reuters,Reuters
12,Reuters Editorial,,Self-proclaimed bitcoin creator hails court victory - Reuters Australia,A computer scientist who has claimed to be the inventor of bitcoin largely prevailed this week in a Florida jury trial over whether the estate of a former business partner deserved half of a bitcoin cache worth more than $50 billion.  Conway G. Gittens has mo…,https://www.reuters.com/video/watch/idRCV00AJB3,https://static.reuters.com/resources/r/?d=20211209&i=RCV00AJB3&r=RCV00AJB3&t=2,2021-12-09T23:10:33Z,"Posted 
A computer scientist who has claimed to be the inventor of bitcoin largely prevailed this week in a Florida jury trial over whether the estate of a former business partner deserved half of a… [+70 chars]",reuters,Reuters
13,Julian Dossett,,Man claiming to be bitcoin's creator wins dispute over $50B in bitcoin - CNET,"Craig Wright, who says he is bitcoin creator Satoshi Nakamoto, is still on the hook for $100 million.",https://www.cnet.com/personal-finance/crypto/man-claiming-to-be-bitcoins-creator-wins-dispute-over-50b-in-bitcoin/,https://www.cnet.com/a/img/epn7iuw3jerCQrWGxhU3nLlCDcM=/1200x630/2021/12/06/2ff90338-469d-41ad-b9c2-a33e29f97109/gettyimages-1307405783.jpg,2021-12-06T23:38:00Z,"Is Satoshi's identity finally revealed?
Getty
A computer scientist who claims to be the inventor of bitcoin prevailed in a civil trial on Monday against the estate of a deceased former business par… [+1945 chars]",,CNET
14,Adam Button,,"The crypto market had a rough weekend --bitcoin falls through $50,000 - ForexLive","<ol><li>The crypto market had a rough weekend --bitcoin falls through $50,000  ForexLive
</li><li>$300 Billion Crypto Price Crash: What Next For Bitcoin, Ethereum, BNB, Solana, Cardano, XRP And Terra’s Luna  Forbes
</li><li>Shock to Crypto Daredevils Joins …",https://www.forexlive.com/Cryptocurrency/the-crypto-market-had-a-rough-weekend-bitcoin-falls-through-50000-20211205/,,2021-12-05T22:32:00Z,"bitcoin daily
Cryptocurrencies were sold hard this weekend in a painful crash on most fronts.
Bitcoin dropped 14% on the weekend, hitting $42K early Saturday in a $9000 drop inside of an hour. It's… [+1688 chars]",,ForexLive
15,Entrepreneur Deals,,Adding Crypto to Your Retirement Planning Is Easier Than You Might Think,Get tax breaks on any crypto earnings with a Bitcoin IRA account.,https://www.entrepreneur.com/article/401615,https://assets.entrepreneur.com/content/3x2/2000/1639081247-matilda-ason-j0gwYuUa8wc-unsplash.jpg,2021-12-09T21:00:00Z,"A decade ago, cryptocurrencies were considered too risky for mainstream investors. But of course, as any entrepreneur will tell you, there is no innovation without risk. And because a small group of … [+3561 chars]",,Entrepreneur
16,,,Bitcoin extends decline after weekend flash crash - Reuters,"Bitcoin dropped by almost 5% on Monday as the start of the week offered little respite to the world's largest cryptocurrency after a bruising weekend when, at one point, it lost over a fifth of its value.",https://www.reuters.com/technology/bitcoin-below-50000-early-october-levels-after-weekends-battering-2021-12-06/,https://www.reuters.com/resizer/NClPDVqhVqHrhEqhtrhOh_46hjE=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/DYNPA5YKRRJ27E7LLJVDFKCTBM.jpg,2021-12-06T17:40:00Z,"NEW YORK/LONDON/HONG KONG, Dec 6 (Reuters) - Bitcoin dropped by almost 5% on Monday as the start of the week offered little respite to the world's largest cryptocurrency after a bruising weekend when… [+3071 chars]",reuters,Reuters
17,mfox@businessinsider.com (Matthew Fox),,"These are the 9 stocks with the highest correlation to bitcoin and ethereum, according to JPMorgan","Public companies including crypto miners, exchange providers, and holding companies have significant exposure to the cryptocurrency space.",https://markets.businessinsider.com/news/currencies/stocks-highest-correlation-to-bitcoin-ethereum-crypto-ether-jpmorgan-2021-12,https://images2.markets.businessinsider.com/61ae4b367802650019c8dca2?format=jpeg,2021-12-06T19:08:24Z,"MicroStrategy CEO Michael SaylorJoe Raedle/Getty Images
<ul><li>The lack of a spot bitcoin ETF means some investors are looking for other ways to gain exposure to cryptocurrencies.</li><li>Investors… [+2615 chars]",business-insider,Business Insider
18,,,Late filers to lead Bitcoin mining-machine class action - Reuters,A federal judge in Manhattan on Thursday chose a Hong Kong couple to lead the securities-fraud lawsuit against Bitcoin mining machine manufacturer Canaan Inc even though they had filed the information to support their class leadership motion two weeks late.,https://www.reuters.com/legal/litigation/late-filers-lead-bitcoin-mining-machine-class-action-2021-12-10/,https://www.reuters.com/resizer/GE8IYv0lwmPOP_Ccil0z_TV0Ik8=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ILIVMYPNCFLAFPTKNVVDLWDZNY.jpg,2021-12-10T01:20:00Z,"<ul><li>
</li><li>
</li><li>
Kessler Topaz Meltzer &amp; Check, LLP
</li></ul>
The company and law firm names shown above are generated automatically based on the text of the article. We are imp… [+2603 chars]",reuters,Reuters
19,Tory Shepherd,,"Satoshi Nakamoto, Craig Wright and a bitcoin mystery in America","A US court case could have unmasked Australian as cryptocurrency inventor. But a jury found in his favour so the enigma remainsIn Budapest, there is a bust by the Danube River. The face is bronze, and blank, so people can see their own faces reflected back at…",https://amp.theguardian.com/technology/2021/dec/11/satoshi-nakamoto-craig-wright-and-a-bitcoin-mystery-in-america,https://i.guim.co.uk/img/media/0db051212f35d81200970e91c7ca13ee3c717dec/104_449_5695_3417/master/5695.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=e7f01adf5d9711c5775d7a0bd9ea87c5,2021-12-10T19:00:48Z,"In Budapest, there is a bust by the Danube River. The face is bronze, and blank, so people can see their own faces reflected back at them. It is wearing a hoodie, with the bitcoin logo on the chest.… [+9083 chars]",,The Guardian
